id	name	created_at	updated_at	deleted_at
1	北海道	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
2	青森県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
3	岩手県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
4	宮城県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
5	秋田県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
6	山形県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
7	福島県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
8	茨城県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
9	栃木県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
10	群馬県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
11	埼玉県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
12	千葉県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
13	東京都	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
14	神奈川県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
15	新潟県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
16	富山県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
17	石川県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
18	福井県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
19	山梨県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
20	長野県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
21	岐阜県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
22	静岡県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
23	愛知県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
24	三重県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
25	滋賀県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
26	京都府	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
27	大阪府	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
28	兵庫県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
29	奈良県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
30	和歌山県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
31	鳥取県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
32	島根県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
33	岡山県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
34	広島県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
35	山口県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
36	徳島県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
37	香川県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
38	愛媛県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
39	高知県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
40	福岡県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
41	佐賀県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
42	長崎県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
43	熊本県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
44	大分県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
45	宮崎県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
46	鹿児島県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
47	沖縄県	2025-06-16 21:31:59	2025-06-16 21:31:59	NULL
